,date_card,place_card,weight_class,method,round,time,type,order,first_fighter_res,first_fighter,second_fighter,second_kd,first_sig_str_,second_sig_str_,first_sig_str_percentage,second_sig_str_percentage,first_total_str,second_total_str,referee,agg_height_first,agg_weight_first,agg_reach_first,agg_stand_first,agg_dob_first,agg_slpm_first,agg_str_acc_first,agg_sapm_first,agg_str_def_first,agg_td_avg_first,agg_td_acc_first,agg_td_def_first,agg_sub_avg_first,agg_recodr_first,agg_nickname_first,agg_fighter_name_first,agg_last_updated_first,agg_height_second,agg_weight_second,agg_reach_second,agg_stand_second,agg_dob_second,agg_slpm_second,agg_str_acc_second,agg_sapm_second,agg_str_def_second,agg_td_avg_second,agg_td_acc_second,agg_td_def_second,agg_sub_avg_second,agg_recodr_second
26,18-Jan-20,"Las Vegas, Nevada, USA",Women's Bantamweight, Decision - Unanimous ,3,5:00,,2,W,Holly Holm,Raquel Pennington,0,30 of 62,38 of 78,48%,48%,81 of 129,55 of 95,Jason Herzog,"5' 8""",135 lbs.,"69""",Southpaw,17-Oct-81,3.16,38%,2.8,57%,0.81,30%,76%,0.1,Record: 14-5-0,The Preacher's Daughter,Holly Holm,57:28.3,"5' 7""",135 lbs.,"67""",Orthodox,5-Sep-88,3.62,48%,3.2,63%,1.12,28%,65%,0.7,Record: 11-9-0
27,18-Jan-20,"Las Vegas, Nevada, USA",Heavyweight, Submission ,2,4:38,perf,3,W,Aleksei Oleinik,Maurice Greene,0,7 of 22,13 of 29,31%,44%,25 of 46,38 of 54,Keith Peterson,"6' 2""",240 lbs.,"80""",Orthodox,20-Jun-77,3.47,50%,3.85,44%,2.38,46%,33%,2.4,Record: 59-15-1,The Boa Constrictor,Aleksei Oleinik,57:28.3,"6' 7""",258 lbs.,"80""",Orthodox,5-Jul-86,3.28,45%,3.61,45%,0,0%,27%,0.4,Record: 9-7-0
28,18-Jan-20,"Las Vegas, Nevada, USA",Bantamweight, Submission ,1,2:49,perf,4,W,Brian Kelleher,Ode Osbourne,0,7 of 12,9 of 14,58%,64%,28 of 34,19 of 25,Mark Smith,"5' 6""",145 lbs.,"66""",Switch,19-Aug-86,3.92,39%,5.47,53%,1,25%,59%,0.7,Record: 22-12-0,Boom,Brian Kelleher,57:28.3,"5' 7""",145 lbs.,"73""",Southpaw,9-Jan-92,4.3,54%,3.04,42%,1.9,100%,66%,1.9,Record: 9-3-0 (1 NC)
29,18-Jan-20,"Las Vegas, Nevada, USA",Lightweight, Submission ,2,1:46,perf,5,L,Anthony Pettis,Diego Ferreira,0,22 of 45,25 of 53,48%,47%,28 of 51,43 of 74,Herb Dean,"5' 10""",155 lbs.,"72""",Orthodox,27-Jan-87,3.05,47%,3.44,54%,0.61,50%,60%,1.1,Record: 24-10-0,Showtime,Anthony Pettis,57:28.3,"5' 9""",155 lbs.,"74""",Orthodox,18-Jan-85,4.7,37%,3.38,56%,0.81,24%,66%,0.8,Record: 17-4-0
30,18-Jan-20,"Las Vegas, Nevada, USA",Women's Flyweight, Decision - Unanimous ,3,5:00,,6,W,Roxanne Modafferi,Maycee Barber,0,19 of 43,16 of 31,44%,51%,112 of 155,25 of 45,Jason Herzog,"5' 7""",125 lbs.,"69""",Orthodox,24-Sep-82,3.13,30%,5.03,53%,1.42,23%,30%,0.1,Record: 25-19-0,The Happy Warrior,Roxanne Modafferi,57:28.3,"5' 5""",125 lbs.,"65""",Switch,18-May-98,5.21,52%,3,50%,1.44,40%,80%,0.2,Record: 8-2-0
31,18-Jan-20,"Las Vegas, Nevada, USA",Featherweight, Decision - Unanimous ,3,5:00,,7,L,Andre Fili,Sodiq Yusuff,0,49 of 145,73 of 155,33%,47%,56 of 152,90 of 177,Chris Tognoni,"5' 11""",145 lbs.,"74""",Orthodox,25-Jun-90,3.73,36%,3.9,52%,2.5,49%,64%,0.2,Record: 21-8-0,Touchy,Andre Fili,57:28.3,"5' 9""",145 lbs.,"71""",Orthodox,19-May-93,5.43,48%,3.46,58%,0,0%,68%,0.5,Record: 11-2-0
32,1-Apr-09,"Nashville, Tennessee, USA",Welterweight, Submission ,1,2:01,,7,W,Brock Larson,Jesse Sanders,0,13 of 20,0 of 3,65%,0%,30 of 40,0 of 3,Herb Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,18-Jan-20,"Las Vegas, Nevada, USA",Flyweight, Decision - Unanimous ,3,5:00,,8,L,Tim Elliott,Askar Askarov,0,47 of 111,73 of 150,42%,48%,86 of 157,96 of 173,Keith Peterson,"5' 7""",125 lbs.,"66""",Southpaw,24-Dec-86,3.35,45%,2.49,59%,4.01,49%,58%,1.1,Record: 18-11-1,,Tim Elliott,57:28.3,"5' 6""",125 lbs.,"67""",Orthodox,9-Oct-92,3.37,55%,2.65,56%,2.75,28%,64%,0,Record: 13-0-1
34,18-Jan-20,"Las Vegas, Nevada, USA",Lightweight, KO/TKO ,1,1:10,perf,9,W,Drew Dober,Nasrat Haqparast,0,13 of 26,7 of 11,50%,63%,13 of 26,7 of 11,Mark Smith,"5' 8""",155 lbs.,"70""",Southpaw,19-Oct-88,4.38,40%,4.08,52%,0.82,18%,55%,0.1,Record: 23-11-0 (1 NC),,Drew Dober,57:28.3,"5' 10""",155 lbs.,"72""",Southpaw,22-Aug-95,5.81,47%,3.23,74%,0.18,16%,84%,0,Record: 13-3-0
35,18-Jan-20,"Las Vegas, Nevada, USA",Light Heavyweight, Decision - Unanimous ,3,5:00,,10,W,Aleksa Camur,Justin Ledet,0,80 of 165,44 of 131,48%,33%,88 of 174,60 of 148,Herb Dean,"6' 1""",205 lbs.,"74""",Orthodox,25-Sep-95,3.94,54%,2.49,57%,0.84,33%,20%,0,Record: 6-1-0,,Aleksa Camur,57:28.3,"6' 4""",205 lbs.,"80""",Orthodox,28-Sep-88,3.35,39%,4.82,49%,0.23,50%,42%,0.2,Record: 9-4-0 (1 NC)
36,21-Feb-09,"London, England, United Kingdom",Welterweight, KO/TKO ,1,1:09,,2,W,Dan Hardy,Rory Markham,0,5 of 12,2 of 7,41%,28%,5 of 12,2 of 7,Kevin Mulhall,"6' 0""",170 lbs.,"74""",Orthodox,17-May-82,2.46,35%,3.44,51%,0.73,35%,35%,0.4,Record: 25-10-0 (1 NC),The Outlaw,Dan Hardy,57:28.3,,,,,,,,,,,,,,
37,18-Jan-20,"Las Vegas, Nevada, USA",Women's Flyweight, Decision - Split ,3,5:00,,11,W,Sabina Mazo,JJ Aldrich,0,118 of 323,58 of 144,36%,40%,121 of 327,69 of 156,Chris Tognoni,"5' 7""",135 lbs.,"70""",Orthodox,25-Mar-97,6.56,44%,3.91,60%,0.81,80%,66%,0.2,Record: 9-2-0,Colombian Queen,Sabina Mazo,57:28.3,"5' 5""",125 lbs.,"67""",Southpaw,29-Sep-92,3.76,41%,4.55,61%,0.8,40%,57%,0,Record: 9-4-0
38,21-Dec-19,"Busan, South Korea",Featherweight, KO/TKO ,1,3:18,perf,1,L,Frankie Edgar,Chan Sung Jung,1,9 of 14,46 of 60,64%,76%,9 of 14,79 of 97,Marc Goddard,"5' 6""",135 lbs.,"68""",Orthodox,16-Oct-81,3.7,39%,2.71,66%,2.28,31%,65%,0.3,Record: 23-9-1,The Answer,Frankie Edgar,57:28.3,"5' 7""",145 lbs.,"72""",Orthodox,17-Mar-87,4.15,41%,4.01,56%,0.62,41%,75%,0.5,Record: 16-6-0
39,21-Dec-19,"Busan, South Korea",Light Heavyweight, Decision - Split ,3,5:00,,2,W,Volkan Oezdemir,Aleksandar Rakic,0,63 of 144,75 of 147,43%,51%,118 of 199,87 of 162,Greg Kleynjans,"6' 2""",205 lbs.,"75""",Orthodox,19-Sep-89,5.03,45%,4.24,55%,0.36,20%,80%,0,Record: 17-5-0,No Time,Volkan Oezdemir,57:28.3,"6' 4""",205 lbs.,"78""",Orthodox,6-Feb-92,4.23,52%,2.23,52%,0.75,25%,90%,0.2,Record: 14-2-0
40,21-Dec-19,"Busan, South Korea",Featherweight, KO/TKO ,2,4:32,fight,3,L,Dooho Choi,Charles Jourdain,2,42 of 94,64 of 129,44%,49%,44 of 96,75 of 140,Peter Hickmott,"5' 10""",145 lbs.,"70""",Orthodox,10-Apr-91,5.32,51%,6.38,53%,0.41,20%,50%,0,Record: 14-4-0,The Korean Superboy,Dooho Choi,57:28.3,"5' 9""",145 lbs.,"69""",Switch,27-Nov-95,4.79,45%,4.11,61%,0,0%,47%,0.7,Record: 11-3-1
41,21-Dec-19,"Busan, South Korea",Light Heavyweight, KO/TKO ,1,1:04,,4,W,Da-Un Jung,Mike Rodriguez,0,5 of 10,4 of 8,50%,50%,5 of 10,4 of 8,Marc Goddard,"6' 4""",205 lbs.,"78""",Orthodox,7-Dec-93,3.95,45%,3.9,54%,2.79,61%,88%,0.3,Record: 14-2-1,Sseda,Da-Un Jung,57:28.3,"6' 4""",205 lbs.,"82""",Southpaw,28-Nov-88,4.61,59%,3.39,40%,0,0%,41%,0,Record: 11-6-0 (1 NC)
42,21-Dec-19,"Busan, South Korea",Middleweight, Decision - Unanimous ,3,5:00,,5,W,Junyong Park,Marc-Andre Barriault,0,77 of 187,51 of 160,41%,31%,83 of 193,57 of 166,Thomas Fan,"5' 10""",185 lbs.,"73""",Orthodox,27-Feb-91,4.37,47%,3.17,58%,3.02,57%,46%,0.6,Record: 13-4-0,The Iron Turtle,Junyong Park,57:28.3,"6' 1""",185 lbs.,"74""",Orthodox,18-Feb-90,5.36,48%,4.79,55%,0.43,25%,72%,0,Record: 12-4-0 (1 NC)
43,21-Dec-19,"Busan, South Korea",Bantamweight, Decision - Split ,3,5:00,,6,W,Kyung Ho Kang,Liu Pingyuan,0,20 of 40,25 of 53,50%,47%,108 of 153,114 of 149,Peter Hickmott,"5' 9""",135 lbs.,"73""",Orthodox,9-Sep-87,2.52,44%,2.43,58%,2.53,59%,71%,1.1,Record: 17-8-0 (1 NC),Mr. Perfect,Kyung Ho Kang,57:28.3,"5' 6""",135 lbs.,"72""",Orthodox,13-Feb-93,2.36,33%,2.99,54%,0.25,20%,56%,1,Record: 13-7-0
44,21-Dec-19,"Busan, South Korea",Heavyweight, Decision - Unanimous ,3,5:00,,7,W,Ciryl Gane,Tanner Boser,0,65 of 160,32 of 104,40%,30%,65 of 160,32 of 104,Marc Goddard,"6' 4""",245 lbs.,"81""",Orthodox,12-Apr-90,5.04,55%,1.85,69%,1.13,26%,100%,0.5,Record: 8-0-0,Bon Gamin,Ciryl Gane,57:28.3,"6' 2""",255 lbs.,"75""",Orthodox,2-Aug-91,4.21,52%,2.26,63%,0,0%,60%,0,Record: 19-8-1
45,21-Dec-19,"Busan, South Korea",Featherweight, Decision - Unanimous ,3,5:00,,8,W,SeungWoo Choi,Suman Mokhtarian,0,95 of 187,33 of 79,50%,41%,158 of 254,67 of 115,Greg Kleynjans,"6' 0""",145 lbs.,"74""",Orthodox,3-Nov-92,3.17,41%,2.45,46%,1.03,57%,66%,0,Record: 9-3-0,Sting,SeungWoo Choi,57:28.3,"5' 8""",145 lbs.,"72""",Orthodox,13-Jun-92,2.21,43%,6.85,48%,0,0%,0%,0,Record: 8-5-0
46,14-Dec-19,"Las Vegas, Nevada, USA",Featherweight, KO/TKO ,1,4:34,,10,W,Chase Hooper,Daniel Teymur,0,20 of 36,2 of 6,55%,33%,37 of 70,2 of 6,Jason Herzog,"6' 1""",145 lbs.,"74""",Southpaw,13-Sep-99,3.87,46%,3.79,36%,0.96,18%,50%,2.2,Record: 10-2-1,The Dream,Chase Hooper,57:28.3,"5' 5""",145 lbs.,"69""",Orthodox,3-Feb-88,3.08,46%,3.93,56%,0.56,18%,60%,0.3,Record: 7-4-0
47,21-Dec-19,"Busan, South Korea",Lightweight, Decision - Unanimous ,3,5:00,,9,L,Dong Hyun Ma,Omar Morales,1,15 of 56,32 of 89,26%,35%,21 of 63,60 of 123,Thomas Fan,"5' 11""",155 lbs.,"70""",Orthodox,9-Sep-88,2.84,41%,4.1,54%,1.27,53%,33%,0,Record: 16-11-3,Maestro,Dong Hyun Ma,57:28.3,"5' 11""",145 lbs.,"73""",Orthodox,17-Oct-85,3.66,37%,3.01,63%,0.68,100%,87%,0,Record: 11-1-0
48,21-Dec-19,"Busan, South Korea",Flyweight, KO/TKO ,1,4:17,perf,10,W,Alexandre Pantoja,Matt Schnell,0,34 of 62,20 of 52,54%,38%,36 of 64,35 of 68,Marc Goddard,"5' 5""",125 lbs.,"67""",Orthodox,16-Apr-90,4.3,47%,3.39,53%,0.94,35%,68%,0.9,Record: 23-5-0,The Cannibal,Alexandre Pantoja,57:28.3,"5' 8""",125 lbs.,"70""",Orthodox,15-Jan-90,4.23,38%,4.17,59%,0.39,33%,50%,1,Record: 15-6-0
49,21-Dec-19,"Busan, South Korea",Bantamweight, Decision - Unanimous ,3,5:00,,11,W,Raoni Barcelos,Said Nurmagomedov,0,42 of 100,55 of 172,42%,31%,52 of 112,77 of 200,Peter Hickmott,"5' 7""",135 lbs.,"67""",Orthodox,1-May-87,5.59,52%,4.17,67%,2.23,56%,85%,0.7,Record: 16-1-0,,Raoni Barcelos,57:28.3,"5' 8""",135 lbs.,"70""",Orthodox,5-Apr-92,4.65,46%,2.37,60%,0.45,7%,71%,0,Record: 14-2-0
